,date,open,high,low,close,volume,average,barCount
249,2022-09-28 08:18:00,3684.93,3685.56,3682.73,3683.92,0.0,0.0,111
250,2022-09-28 08:20:00,3683.95,3693.95,3683.94,3692.88,0.0,0.0,114
251,2022-09-28 08:22:00,3692.85,3693.36,3690.48,3691.35,0.0,0.0,110
252,2022-09-28 08:24:00,3691.39,3695.36,3691.23,3694.87,0.0,0.0,117
253,2022-09-28 08:26:00,3694.81,3695.6,3690.62,3692.99,0.0,0.0,110
254,2022-09-28 08:28:00,3692.97,3693.22,3686.13,3686.53,0.0,0.0,117
255,2022-09-28 08:30:00,3686.48,3687.29,3681.96,3682.74,0.0,0.0,116
256,2022-09-28 08:32:00,3682.71,3683.39,3680.37,3681.06,0.0,0.0,113
257,2022-09-28 08:34:00,3681.24,3685.07,3681.19,3684.23,0.0,0.0,117
258,2022-09-28 08:36:00,3684.2,3687.37,3684.0,3686.71,0.0,0.0,111
259,2022-09-28 08:38:00,3686.59,3686.59,3680.7,3681.66,0.0,0.0,117
260,2022-09-28 08:40:00,3681.79,3682.55,3679.54,3681.26,0.0,0.0,116
261,2022-09-28 08:42:00,3681.28,3682.37,3679.87,3682.23,0.0,0.0,116
262,2022-09-28 08:44:00,3682.33,3683.69,3681.37,3681.46,0.0,0.0,113
263,2022-09-28 08:46:00,3681.52,3687.37,3681.52,3686.98,0.0,0.0,111
264,2022-09-28 08:48:00,3687.02,3690.58,3687.02,3688.99,0.0,0.0,110
265,2022-09-28 08:50:00,3688.96,3690.77,3688.77,3689.44,0.0,0.0,114
266,2022-09-28 08:52:00,3689.36,3693.73,3689.34,3693.73,0.0,0.0,118
267,2022-09-28 08:54:00,3693.63,3697.31,3693.12,3696.93,0.0,0.0,115
268,2022-09-28 08:56:00,3696.81,3697.9,3695.94,3696.04,0.0,0.0,112
269,2022-09-28 08:58:00,3696.2,3697.45,3695.61,3697.13,0.0,0.0,110
270,2022-09-28 09:00:00,3697.16,3698.21,3695.99,3696.67,0.0,0.0,117
271,2022-09-28 09:02:00,3696.9,3699.21,3696.9,3698.35,0.0,0.0,113
272,2022-09-28 09:04:00,3698.41,3698.58,3695.99,3696.56,0.0,0.0,116
273,2022-09-28 09:06:00,3696.8,3698.03,3696.33,3697.97,0.0,0.0,115
274,2022-09-28 09:08:00,3698.18,3698.37,3696.55,3696.56,0.0,0.0,108
275,2022-09-28 09:10:00,3696.53,3698.58,3696.53,3698.57,0.0,0.0,108
276,2022-09-28 09:12:00,3698.8,3703.48,3698.56,3702.62,0.0,0.0,114
277,2022-09-28 09:14:00,3702.63,3703.97,3701.26,3703.19,0.0,0.0,107
278,2022-09-28 09:16:00,3703.21,3706.69,3703.16,3706.06,0.0,0.0,113
279,2022-09-28 09:18:00,3706.07,3708.51,3706.01,3708.51,0.0,0.0,106
280,2022-09-28 09:20:00,3708.5,3709.01,3705.26,3707.33,0.0,0.0,114
281,2022-09-28 09:22:00,3707.18,3707.18,3703.15,3703.15,0.0,0.0,114
282,2022-09-28 09:24:00,3703.23,3703.26,3700.46,3700.46,0.0,0.0,117
283,2022-09-28 09:26:00,3700.39,3700.8,3697.24,3697.39,0.0,0.0,112
284,2022-09-28 09:28:00,3697.41,3699.24,3696.9,3697.55,0.0,0.0,110
285,2022-09-28 09:30:00,3697.48,3698.74,3695.61,3695.61,0.0,0.0,115
286,2022-09-28 09:32:00,3695.54,3697.87,3695.4,3697.74,0.0,0.0,110
287,2022-09-28 09:34:00,3697.75,3700.14,3697.61,3699.11,0.0,0.0,110
288,2022-09-28 09:36:00,3699.03,3699.58,3696.28,3697.01,0.0,0.0,116
289,2022-09-28 09:38:00,3697.03,3698.03,3695.35,3695.62,0.0,0.0,112
290,2022-09-28 09:40:00,3695.64,3698.3,3695.47,3697.58,0.0,0.0,114
291,2022-09-28 09:42:00,3697.59,3700.07,3696.46,3700.03,0.0,0.0,118
292,2022-09-28 09:44:00,3700.24,3706.58,3700.24,3704.83,0.0,0.0,116
293,2022-09-28 09:46:00,3705.25,3705.52,3702.36,3703.9,0.0,0.0,117
294,2022-09-28 09:48:00,3703.82,3704.03,3701.22,3701.93,0.0,0.0,113
295,2022-09-28 09:50:00,3701.9,3702.21,3698.0,3698.84,0.0,0.0,116
296,2022-09-28 09:52:00,3698.83,3702.23,3698.83,3700.64,0.0,0.0,114
297,2022-09-28 09:54:00,3700.48,3702.42,3699.31,3701.89,0.0,0.0,114
298,2022-09-28 09:56:00,3702.31,3702.31,3699.41,3699.54,0.0,0.0,112
299,2022-09-28 09:58:00,3699.84,3702.37,3699.84,3702.17,0.0,0.0,104
300,2022-09-28 10:00:00,3702.45,3703.24,3698.49,3701.24,0.0,0.0,117
301,2022-09-28 10:02:00,3701.68,3703.2,3699.58,3701.15,0.0,0.0,113
302,2022-09-28 10:04:00,3701.13,3704.94,3701.13,3704.92,0.0,0.0,112
303,2022-09-28 10:06:00,3704.88,3709.21,3704.82,3708.36,0.0,0.0,113
304,2022-09-28 10:08:00,3708.43,3712.03,3707.42,3711.52,0.0,0.0,113
305,2022-09-28 10:10:00,3711.51,3711.51,3708.56,3709.12,0.0,0.0,113
306,2022-09-28 10:12:00,3709.31,3710.05,3708.28,3709.92,0.0,0.0,112
307,2022-09-28 10:14:00,3709.89,3712.14,3709.35,3711.59,0.0,0.0,109
308,2022-09-28 10:16:00,3711.55,3713.38,3711.32,3712.72,0.0,0.0,113
